Disease;Description;Precaution_1;Precaution_2;Precaution_3;Precaution_4;Enfermedad;Descripcion;Precaucion_1;Precaucion_2;Precaucion_3;Precaucion_4;Precaucion_5
Drug Reaction;An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.;stop irritation;consult nearest hospital;stop taking drug;follow up;Reacción adversa a medicamentos;Una reacción adversa a medicamentos (RAM) es una lesión causada por la toma de medicamentos. Las RAM pueden ocurrir después de una sola dosis, la administración prolongada de un medicamento o como resultado de la combinación de dos o más medicamentos.;Suspender el medicamento bajo supervisión médica: Consultar al médico inmediatamente para suspender el medicamento responsable de la reacción y recibir alternativas adecuadas.;Mantener una lista de medicamentos: Informar siempre a los profesionales de la salud sobre todos los medicamentos y suplementos que se están tomando para evitar posibles interacciones.;Monitorear los síntomas: Observar atentamente los síntomas después de tomar un medicamento nuevo y comunicarse con el médico si aparecen erupciones, dificultad para respirar u otros signos adversos.;Tomar la dosis recomendada: Evitar exceder la dosis indicada del medicamento, ya que esto puede aumentar el riesgo de efectos secundarios y reacciones adversas.;Leer la información del prospecto: Revisar cuidadosamente el prospecto del medicamento para conocer posibles efectos secundarios y actuar rápidamente en caso de presentarse alguno.
Malaria;An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.;Consult nearest hospital;avoid oily food;avoid non veg food;keep mosquitos out;Malaria;Una enfermedad infecciosa causada por parásitos protozoarios de la familia Plasmodium que se transmite por la picadura del mosquito Anopheles o por una aguja contaminada o transfusión. La malaria por falciparum es el tipo más mortal.;Usar mosquiteros tratados con insecticida: Dormir bajo mosquiteros tratados con insecticida para prevenir las picaduras de mosquitos que transmiten la malaria.;Aplicar repelente de insectos: Utilizar repelentes en la piel y la ropa, especialmente en áreas con alta prevalencia de malaria.;Tomar medicamentos antipalúdicos: Seguir un régimen de profilaxis antipalúdica antes, durante y después de viajar a zonas endémicas.;Evitar actividades al aire libre al amanecer y atardecer: Los mosquitos transmisores de malaria son más activos durante estas horas del día.;Usar ropa de manga larga y colores claros: Vestir prendas que cubran la mayor parte del cuerpo para reducir el riesgo de picaduras.
Allergy;An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.;apply calamine;cover area with bandage;;use ice to compress itching;Alergia;Una alergia es una respuesta del sistema inmunológico a una sustancia extraña que normalmente no es dañina para tu cuerpo. Estas sustancias pueden incluir ciertos alimentos, polen o caspa de mascotas. La función del sistema inmunológico es mantenerte sano luchando contra patógenos dañinos.;Evitar alérgenos conocidos: Identificar y evitar el contacto con alérgenos como polvo, polen, ciertos alimentos y caspa de animales.;Tomar antihistamínicos recetados: Usar medicamentos antihistamínicos según las indicaciones para reducir los síntomas de alergia.;Mantener una buena limpieza en el hogar: Limpiar regularmente para reducir la presencia de ácaros, moho y otros desencadenantes de alergias.;Utilizar purificadores de aire: Colocar un purificador de aire en el hogar para eliminar alérgenos del aire y mejorar la calidad del aire interior.;Llevar siempre epinefrina inyectable: Si tiene alergia grave, portar un autoinyector de epinefrina para emergencias de anafilaxia.
Hypothyroidism;Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.;reduce stress;exercise;eat healthy;get proper sleep;Hipotiroidismo;El hipotiroidismo, también llamado tiroides hipoactiva o tiroides baja, es un trastorno del sistema endocrino en el cual la glándula tiroides no produce suficiente hormona tiroidea.;Evitar alimentos ricos en yodo: Reducir el consumo de alimentos como algas marinas, pescados y productos lácteos, ya que estos pueden aumentar la producción de hormona tiroidea.;Seguir el tratamiento con antitiroideos: Tomar los medicamentos prescritos por el médico para bloquear la producción excesiva de hormonas tiroideas y controlar los síntomas.;Mantener una dieta equilibrada: Consumir alimentos ricos en nutrientes y evitar estimulantes como la cafeína, que pueden agravar los síntomas de nerviosismo y taquicardia.;Realizar controles médicos regulares: Asistir a chequeos periódicos para monitorear los niveles hormonales y ajustar el tratamiento si es necesario.;Practicar una rutina de sueño regular: Acostarse y despertarse a la misma hora todos los días, incluso los fines de semana, ayuda a regular el reloj biológico y mejora la calidad del sueño, lo cual contribuye a reducir los niveles de estrés.
Psoriasis;Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.;wash hands with warm soapy water;stop bleeding using pressure;consult doctor;salt baths;Psoriasis;La psoriasis es un trastorno cutáneo común que forma manchas gruesas, rojas y elevadas cubiertas con escamas plateadas. Pueden aparecer en cualquier parte del cuerpo, pero la mayoría se presenta en el cuero cabelludo, los codos, las rodillas y la parte baja de la espalda. La psoriasis no se transmite de persona a persona, aunque a veces ocurre en miembros de la misma familia.;Hidratar la piel diariamente: Aplicar cremas humectantes después del baño para evitar la sequedad y aliviar los síntomas de la psoriasis.;Evitar factores desencadenantes: Identificar y evitar desencadenantes como el estrés, lesiones en la piel o infecciones que puedan empeorar la condición.;Tomar baños de avena o sales de Epsom: Realizar baños templados con avena coloidal o sales de Epsom para aliviar el picor y la inflamación.;Exposición controlada al sol: Tomar el sol de forma moderada y protegida, ya que la luz solar puede mejorar las lesiones psoriásicas.;Seguir el tratamiento médico indicado: Utilizar los medicamentos tópicos o sistémicos prescritos por el dermatólogo para controlar los brotes.
GERD;Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.;avoid fatty spicy food;avoid lying down after eating;maintain healthy weight;exercise;GERD;La enfermedad por reflujo gastroesofágico (ERGE) es un trastorno digestivo que afecta al esfínter esofágico inferior (EEI), el anillo muscular entre el esófago y el estómago. Muchas personas, incluidas las mujeres embarazadas, sufren de acidez o indigestión ácida causada por la ERGE.;Evitar comidas ácidas y picantes: Reducir el consumo de alimentos como cítricos, tomate y especias que pueden irritar el esófago y empeorar los síntomas.;No acostarse inmediatamente después de comer: Esperar al menos dos a tres horas antes de acostarse para permitir que los alimentos se digieran correctamente.;Elevar la cabecera de la cama: Dormir con la cabeza elevada para evitar el reflujo de ácido hacia el esófago mientras se está acostado.;Mantener un peso saludable: Perder peso si se tiene sobrepeso, ya que el exceso de peso puede aumentar la presión abdominal y empeorar los síntomas de reflujo.;Evitar el alcohol y la cafeína: Limitar o evitar el consumo de bebidas alcohólicas y cafeinadas, ya que pueden relajar el esfínter esofágico inferior y aumentar el reflujo.
Chronic cholestasis;Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases;cold baths;anti itch medicine;consult doctor;eat healthy;Colestásicas crónicas;Las enfermedades colestásicas crónicas, ya sean en la infancia, niñez o edad adulta, se caracterizan por un transporte defectuoso de ácidos biliares del hígado al intestino, lo cual en la mayoría de los casos es causado por un daño primario al epitelio biliar.;Seguir una dieta baja en grasas: Consumir alimentos bajos en grasas para reducir la carga sobre el hígado y mejorar el flujo biliar.;Tomar suplementos de vitaminas liposolubles: Consultar con el médico sobre la suplementación con vitaminas A, D, E y K debido a la mala absorción de grasas.;Evitar el consumo de alcohol: Abstenerse de consumir alcohol, ya que puede empeorar la función hepática y aumentar el riesgo de daño hepático.;Mantener una hidratación adecuada: Beber suficiente agua para ayudar al hígado a funcionar correctamente y eliminar toxinas del cuerpo.;Consultar al médico regularmente: Realizar controles periódicos para monitorear la función hepática y ajustar el tratamiento según sea necesario.
hepatitis A;Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.;Consult nearest hospital;wash hands through;avoid fatty spicy food;medication;Hepatitis A;La hepatitis A es una infección hepática altamente contagiosa causada por el virus de la hepatitis A. Este virus es uno de varios tipos de virus de la hepatitis que causan inflamación y afectan la capacidad del hígado para funcionar.;Vacunarse contra la hepatitis A: Recibir la vacuna para prevenir la infección, especialmente antes de viajar a zonas donde la hepatitis A es común.;Evitar el consumo de agua no tratada: Beber solo agua embotellada o hervida para evitar la transmisión del virus por agua contaminada.;Lavar bien las frutas y verduras: Asegurarse de limpiar adecuadamente los alimentos antes de consumirlos para evitar la ingesta del virus.;Mantener una buena higiene de manos: Lavar las manos con agua y jabón antes de comer y después de usar el baño para prevenir el contagio.;Evitar alimentos crudos o mal cocidos: Consumir solo alimentos bien cocidos para reducir el riesgo de infección por el virus de la hepatitis A.
Osteoarthristis;Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.;acetaminophen;consult nearest hospital;follow up;salt baths;Osteoartritis;La osteoartritis es la forma más común de artritis, y afecta a millones de personas en todo el mundo. Ocurre cuando el cartílago protector que amortigua los extremos de los huesos se desgasta con el tiempo.;Mantener un peso saludable: Bajar de peso si es necesario para reducir la carga sobre las articulaciones y disminuir el dolor asociado a la osteoartritis.;Realizar ejercicios de bajo impacto: Participar en actividades como caminar, nadar o andar en bicicleta para fortalecer los músculos sin dañar las articulaciones.;Aplicar compresas calientes o frías: Utilizar calor para relajar los músculos o frío para reducir la inflamación y el dolor en las articulaciones afectadas.;Utilizar dispositivos de apoyo: Emplear bastones o rodilleras para reducir la tensión en las articulaciones y facilitar la movilidad.;Consultar a un fisioterapeuta: Seguir un plan de ejercicios diseñado por un fisioterapeuta para mejorar la flexibilidad y la fuerza de las articulaciones.
(vertigo) Paroymsal  Positional Vertigo;Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo â€” the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.;lie down;avoid sudden change in body;avoid abrupt head movment;relax;Vértigo posicional paroxístico;El vértigo posicional paroxístico benigno (VPPB) es una de las causas más comunes de vértigo, que es la sensación repentina de que estás girando o que el interior de tu cabeza está girando. El VPPB provoca episodios breves de mareos leves a intensos.;Evitar movimientos bruscos de la cabeza: Mover la cabeza de manera lenta y cuidadosa para reducir la probabilidad de desencadenar episodios de vértigo.;Realizar maniobras de reposicionamiento: Consultar a un médico o fisioterapeuta para realizar maniobras como Epley para recolocar los cristales del oído interno.;Dormir con la cabeza elevada: Usar almohadas adicionales para mantener la cabeza elevada y evitar que el vértigo se presente durante el sueño.;Evitar actividades riesgosas: Abstenerse de conducir, usar maquinaria pesada o realizar actividades que requieran equilibrio durante un episodio de vértigo.;Mantener buena hidratación: Beber suficiente agua para evitar la deshidratación, ya que esta puede empeorar los síntomas de vértigo.
